Date,Team 1,Team 2,FT,HT
2000-09-02,Albacete,Tenerife,1-0,1-0
2000-09-02,Getafe,Cordoba,0-0,0-0
2000-09-02,Lleida,Eibar,0-0,0-0
2000-09-03,Compostela,Betis,0-0,0-0
2000-09-03,Elche,Salamanca,2-0,1-0
2000-09-03,Jaen,Ferrol,1-0,0-0
2000-09-03,Leganes,Extremadura,1-1,1-0
2000-09-03,Levante,Ath Madrid,4-1,0-1
2000-09-03,Recreativo,Badajoz,0-0,0-0
2000-09-03,Sevilla,Murcia,2-1,0-0
2000-09-03,Sp Gijon,U.Las Palmas,0-0,0-0
2000-09-09,Ath Madrid,Recreativo,0-1,0-1
2000-09-09,U.Las Palmas,Getafe,0-1,0-0
2000-09-10,Badajoz,Jaen,0-1,0-0
2000-09-10,Betis,Elche,1-2,0-2
2000-09-10,Cordoba,Levante,1-1,1-1
2000-09-10,Eibar,Leganes,0-1,0-0
2000-09-10,Extremadura,Albacete,1-1,1-0
2000-09-10,Murcia,Lleida,0-0,0-0
2000-09-10,Ferrol,Compostela,1-3,0-1
2000-09-10,Salamanca,Sevilla,0-1,0-1
2000-09-10,Tenerife,Sp Gijon,1-0,0-0
2000-09-16,Albacete,Eibar,1-3,0-2
2000-09-16,Elche,Sevilla,1-2,0-1
2000-09-17,Betis,Ferrol,2-1,2-0
2000-09-17,Compostela,Badajoz,0-1,0-0
2000-09-17,Getafe,Tenerife,0-5,0-2
2000-09-17,Jaen,Ath Madrid,1-0,0-0
2000-09-17,Leganes,Murcia,3-2,2-1
2000-09-17,Levante,U.Las Palmas,2-0,2-0
2000-09-17,Lleida,Salamanca,0-3,0-3
2000-09-17,Recreativo,Cordoba,1-0,1-0
2000-09-17,Sp Gijon,Extremadura,2-0,2-0
2000-09-23,Ath Madrid,Compostela,2-0,1-0
2000-09-23,Cordoba,Jaen,1-0,0-0
2000-09-23,Ferrol,Elche,2-1,1-0
2000-09-23,Tenerife,Levante,1-1,0-1
2000-09-23,U.Las Palmas,Recreativo,0-0,0-0
2000-09-24,Badajoz,Betis,0-0,0-0
2000-09-24,Eibar,Sp Gijon,0-0,0-0
2000-09-24,Extremadura,Getafe,1-0,0-0
2000-09-24,Murcia,Albacete,2-0,1-0
2000-09-24,Salamanca,Leganes,1-1,0-1
2000-09-24,Sevilla,Lleida,2-0,1-0
2000-09-30,Elche,Lleida,2-1,0-0
2000-09-30,Leganes,Sevilla,1-1,0-0
2000-09-30,Ferrol,Badajoz,2-2,1-1
2000-09-30,Recreativo,Tenerife,0-0,0-0
2000-10-01,Albacete,Salamanca,1-0,0-0
2000-10-01,Betis,Ath Madrid,1-1,1-0
2000-10-01,Compostela,Cordoba,0-1,0-0
2000-10-01,Getafe,Eibar,0-0,0-0
2000-10-01,Jaen,U.Las Palmas,1-0,0-0
2000-10-01,Levante,Extremadura,1-0,0-0
2000-10-01,Sp Gijon,Murcia,2-2,0-2
2000-10-07,Cordoba,Betis,1-0,1-0
2000-10-07,Eibar,Levante,0-0,0-0
2000-10-08,Ath Madrid,Ferrol,1-1,0-0
2000-10-08,Badajoz,Elche,1-1,0-1
2000-10-08,Extremadura,Recreativo,1-1,0-1
2000-10-08,Lleida,Leganes,1-0,1-0
2000-10-08,Murcia,Getafe,2-1,1-0
2000-10-08,Salamanca,Sp Gijon,2-1,1-0
2000-10-08,Sevilla,Albacete,1-0,0-0
2000-10-08,Tenerife,Jaen,1-1,1-1
2000-10-08,U.Las Palmas,Compostela,1-1,0-1
2000-10-14,Badajoz,Ath Madrid,0-0,0-0
