Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 29 Aug 2009 (34),Real Betis (1),3-0,1-0,Cordoba (1)
?,(Sat) 29 Aug 2009 (34),RC Celta Vigo (1),1-2,0-0,Numancia (1)
?,(Sat) 29 Aug 2009 (34),Girona (1),0-1,0-1,Cartagena (1)
?,(Sat) 29 Aug 2009 (34),UD Las Palmas (1),1-1,1-1,Real Sociedad (1)
?,(Sat) 29 Aug 2009 (34),Real Union (1),0-1,0-0,Recreativo (1)
?,(Sat) 29 Aug 2009 (34),Rayo Vallecano (1),3-0,0-0,Albacete (1)
?,(Sat) 29 Aug 2009 (34),Villarreal B (1),2-2,0-2,Levante UD (1)
?,(Sun) 30 Aug 2009 (34),Cadiz (1),0-1,0-0,Salamanca (1)
?,(Sun) 30 Aug 2009 (34),Castellon (1),0-0,0-0,Hercules (1)
?,(Sun) 30 Aug 2009 (34),Elche (1),0-2,0-1,Huesca (1)
?,(Sun) 30 Aug 2009 (34),Murcia (1),0-1,0-0,Gimnastic (1)
?,(Sat) 5 Sep 2009 (35),Cartagena (2),2-0,1-0,Rayo Vallecano (2)
?,(Sat) 5 Sep 2009 (35),Cordoba (2),3-1,3-0,Villarreal B (2)
?,(Sat) 5 Sep 2009 (35),Gimnastic (2),1-1,1-0,Girona (2)
?,(Sat) 5 Sep 2009 (35),Huesca (2),1-1,1-1,UD Las Palmas (2)
?,(Sat) 5 Sep 2009 (35),Levante UD (2),1-1,1-0,Cadiz (2)
?,(Sat) 5 Sep 2009 (35),Recreativo (2),2-0,1-0,Castellon (2)
?,(Sun) 6 Sep 2009 (35),Albacete (2),1-0,0-0,Real Union (2)
?,(Sun) 6 Sep 2009 (35),Hercules (2),3-2,1-1,Real Betis (2)
?,(Sun) 6 Sep 2009 (35),Numancia (2),4-1,2-0,Elche (2)
?,(Sun) 6 Sep 2009 (35),Salamanca (2),1-1,0-0,RC Celta Vigo (2)
?,(Sun) 6 Sep 2009 (35),Real Sociedad (2),0-0,0-0,Murcia (2)
?,(Sat) 12 Sep 2009 (36),Cadiz (3),0-0,0-0,Cordoba (3)
?,(Sat) 12 Sep 2009 (36),Castellon (3),3-5,1-2,Albacete (3)
?,(Sat) 12 Sep 2009 (36),RC Celta Vigo (3),1-1,0-1,Levante UD (3)
?,(Sat) 12 Sep 2009 (36),Gimnastic (3),1-2,0-0,Real Sociedad (3)
?,(Sat) 12 Sep 2009 (36),UD Las Palmas (3),1-0,0-0,Numancia (3)
?,(Sat) 12 Sep 2009 (36),Real Union (3),1-1,1-1,Cartagena (3)
?,(Sat) 12 Sep 2009 (36),Villarreal B (3),1-0,0-0,Hercules (3)
?,(Sun) 13 Sep 2009 (36),Real Betis (3),3-0,2-0,Recreativo (3)
?,(Sun) 13 Sep 2009 (36),Elche (3),2-2,0-1,Salamanca (3)
?,(Sun) 13 Sep 2009 (36),Girona (3),1-1,0-0,Rayo Vallecano (3)
?,(Sun) 13 Sep 2009 (36),Murcia (3),1-1,0-0,Huesca (3)
?,(Sat) 19 Sep 2009 (37),Cartagena (4),2-1,2-1,Castellon (4)
?,(Sat) 19 Sep 2009 (37),Cordoba (4),1-0,1-0,RC Celta Vigo (4)
?,(Sat) 19 Sep 2009 (37),Huesca (4),0-1,0-1,Gimnastic (4)
?,(Sat) 19 Sep 2009 (37),Levante UD (4),2-1,0-1,Elche (4)
?,(Sat) 19 Sep 2009 (37),Numancia (4),1-1,0-1,Murcia (4)
?,(Sat) 19 Sep 2009 (37),Rayo Vallecano (4),2-0,0-0,Real Union (4)
?,(Sun) 20 Sep 2009 (37),Albacete (4),1-3,0-2,Real Betis (4)
?,(Sun) 20 Sep 2009 (37),Hercules (4),1-0,0-0,Cadiz (4)
?,(Sun) 20 Sep 2009 (37),Recreativo (4),2-1,0-0,Villarreal B (4)
?,(Sun) 20 Sep 2009 (37),Salamanca (4),0-1,0-0,UD Las Palmas (4)
?,(Sun) 20 Sep 2009 (37),Real Sociedad (4),2-2,0-1,Girona (4)
?,(Sat) 26 Sep 2009 (38),Cadiz (5),1-0,0-0,Recreativo (5)
?,(Sat) 26 Sep 2009 (38),Castellon (5),1-3,0-1,Rayo Vallecano (5)
?,(Sat) 26 Sep 2009 (38),RC Celta Vigo (5),0-1,0-0,Hercules (5)
?,(Sat) 26 Sep 2009 (38),Girona (5),0-2,0-0,Real Union (5)
?,(Sat) 26 Sep 2009 (38),UD Las Palmas (5),0-1,0-0,Levante UD (5)
?,(Sat) 26 Sep 2009 (38),Murcia (5),2-2,1-0,Salamanca (5)
?,(Sat) 26 Sep 2009 (38),Villarreal B (5),2-2,1-1,Albacete (5)
?,(Sun) 27 Sep 2009 (38),Real Betis (5),0-0,0-0,Cartagena (5)
?,(Sun) 27 Sep 2009 (38),Elche (5),3-0,2-0,Cordoba (5)
?,(Sun) 27 Sep 2009 (38),Gimnastic (5),0-1,0-0,Numancia (5)
?,(Sun) 27 Sep 2009 (38),Real Sociedad (5),2-0,1-0,Huesca (5)
?,(Sat) 3 Oct 2009 (39),Cartagena (6),0-0,0-0,Villarreal B (6)
?,(Sat) 3 Oct 2009 (39),Hercules (6),3-0,2-0,Elche (6)
?,(Sat) 3 Oct 2009 (39),Huesca (6),2-2,1-0,Girona (6)
?,(Sat) 3 Oct 2009 (39),Levante UD (6),2-2,2-0,Murcia (6)
?,(Sat) 3 Oct 2009 (39),Real Union (6),3-1,1-1,Castellon (6)
?,(Sat) 3 Oct 2009 (39),Recreativo (6),1-2,1-0,RC Celta Vigo (6)
?,(Sun) 4 Oct 2009 (39),Albacete (6),0-1,0-1,Cadiz (6)
?,(Sun) 4 Oct 2009 (39),Cordoba (6),1-0,1-0,UD Las Palmas (6)
?,(Sun) 4 Oct 2009 (39),Numancia (6),1-3,0-2,Real Sociedad (6)
?,(Sun) 4 Oct 2009 (39),Salamanca (6),1-0,1-0,Gimnastic (6)
?,(Sun) 4 Oct 2009 (39),Rayo Vallecano (6),2-2,2-2,Real Betis (6)
?,(Sat) 10 Oct 2009 (40),RC Celta Vigo (7),1-1,0-0,Albacete (7)
?,(Sat) 10 Oct 2009 (40),Elche (7),3-2,1-1,Recreativo (7)
?,(Sat) 10 Oct 2009 (40),Gimnastic (7),1-0,0-0,Levante UD (7)
?,(Sat) 10 Oct 2009 (40),Girona (7),1-0,0-0,Castellon (7)
?,(Sat) 10 Oct 2009 (40),Huesca (7),0-0,0-0,Numancia (7)
?,(Sat) 10 Oct 2009 (40),UD Las Palmas (7),0-0,0-0,Hercules (7)
?,(Sat) 10 Oct 2009 (40),Murcia (7),1-1,1-1,Cordoba (7)
?,(Sat) 10 Oct 2009 (40),Villarreal B (7),0-2,0-2,Rayo Vallecano (7)
?,(Sun) 11 Oct 2009 (40),Real Betis (7),1-1,1-0,Real Union (7)
?,(Sun) 11 Oct 2009 (40),Cadiz (7),1-3,0-2,Cartagena (7)
?,(Sun) 11 Oct 2009 (40),Real Sociedad (7),2-0,0-0,Salamanca (7)
?,(Sat) 17 Oct 2009 (41),Cartagena (8),1-1,1-0,RC Celta Vigo (8)
?,(Sat) 17 Oct 2009 (41),Castellon (8),1-0,0-0,Real Betis (8)
?,(Sat) 17 Oct 2009 (41),Real Union (8),0-1,0-0,Villarreal B (8)
?,(Sat) 17 Oct 2009 (41),Recreativo (8),2-0,0-0,UD Las Palmas (8)
?,(Sat) 17 Oct 2009 (41),Salamanca (8),2-1,0-0,Huesca (8)
?,(Sat) 17 Oct 2009 (41),Rayo Vallecano (8),2-2,1-0,Cadiz (8)
?,(Sun) 18 Oct 2009 (41),Albacete (8),2-2,1-2,Elche (8)
?,(Sun) 18 Oct 2009 (41),Cordoba (8),1-1,0-0,Gimnastic (8)
?,(Sun) 18 Oct 2009 (41),Hercules (8),1-1,1-0,Murcia (8)
?,(Sun) 18 Oct 2009 (41),Levante UD (8),1-0,0-0,Real Sociedad (8)
?,(Sun) 18 Oct 2009 (41),Numancia (8),3-1,1-1,Girona (8)
?,(Sat) 24 Oct 2009 (42),Gimnastic (9),1-1,1-0,Hercules (9)
?,(Sat) 24 Oct 2009 (42),Girona (9),0-2,0-1,Real Betis (9)
?,(Sat) 24 Oct 2009 (42),Huesca (9),0-0,0-0,Levante UD (9)
?,(Sat) 24 Oct 2009 (42),UD Las Palmas (9),4-0,2-0,Albacete (9)
?,(Sat) 24 Oct 2009 (42),Murcia (9),0-1,0-0,Recreativo (9)
?,(Sat) 24 Oct 2009 (42),Real Sociedad (9),1-0,0-0,Cordoba (9)
?,(Sat) 24 Oct 2009 (42),Villarreal B (9),3-1,1-1,Castellon (9)
?,(Sun) 25 Oct 2009 (42),Cadiz (9),2-1,1-1,Real Union (9)
?,(Sun) 25 Oct 2009 (42),RC Celta Vigo (9),0-0,0-0,Rayo Vallecano (9)
?,(Sun) 25 Oct 2009 (42),Elche (9),1-1,0-0,Cartagena (9)
?,(Sun) 25 Oct 2009 (42),Numancia (9),1-1,0-1,Salamanca (9)
?,(Sat) 31 Oct 2009 (43),Albacete (10),3-2,1-2,Murcia (10)
?,(Sat) 31 Oct 2009 (43),Cartagena (10),4-1,1-1,UD Las Palmas (10)
?,(Sat) 31 Oct 2009 (43),Castellon (10),4-1,1-1,Cadiz (10)
?,(Sat) 31 Oct 2009 (43),Cordoba (10),2-1,1-1,Huesca (10)
?,(Sat) 31 Oct 2009 (43),Real Union (10),2-0,1-0,RC Celta Vigo (10)
?,(Sat) 31 Oct 2009 (43),Recreativo (10),0-1,0-1,Gimnastic (10)
?,(Sat) 31 Oct 2009 (43),Rayo Vallecano (10),0-1,0-1,Elche (10)
?,(Sun) 1 Nov 2009 (43),Hercules (10),5-1,1-0,Real Sociedad (10)
?,(Sun) 1 Nov 2009 (43),Levante UD (10),3-1,1-0,Numancia (10)
?,(Sun) 1 Nov 2009 (43),Salamanca (10),0-1,0-0,Girona (10)
?,(Sat) 7 Nov 2009 (44),RC Celta Vigo (11),2-1,2-0,Castellon (11)
?,(Sat) 7 Nov 2009 (44),Gimnastic (11),1-3,0-1,Albacete (11)
?,(Sat) 7 Nov 2009 (44),Huesca (11),1-0,0-0,Hercules (11)
?,(Sat) 7 Nov 2009 (44),UD Las Palmas (11),2-1,0-0,Rayo Vallecano (11)
?,(Sat) 7 Nov 2009 (44),Numancia (11),2-2,1-1,Cordoba (11)
?,(Sat) 7 Nov 2009 (44),Salamanca (11),3-2,1-1,Levante UD (11)
?,(Sat) 7 Nov 2009 (44),Real Sociedad (11),1-0,0-0,Recreativo (11)
?,(Sun) 8 Nov 2009 (44),Cadiz (11),2-2,1-0,Real Betis (10)
?,(Sun) 8 Nov 2009 (44),Elche (11),2-1,1-1,Real Union (11)
?,(Sun) 8 Nov 2009 (44),Girona (11),3-1,1-0,Villarreal B (10)
?,(Sun) 8 Nov 2009 (44),Murcia (11),1-4,0-3,Cartagena (11)
?,(Sat) 14 Nov 2009 (45),Albacete (12),0-0,0-0,Real Sociedad (12)
?,(Sat) 14 Nov 2009 (45),Castellon (12),0-2,0-2,Elche (12)
?,(Sat) 14 Nov 2009 (45),Levante UD (12),3-2,2-2,Girona (12)
?,(Sat) 14 Nov 2009 (45),Real Union (12),0-0,0-0,UD Las Palmas (12)
?,(Sat) 14 Nov 2009 (45),Recreativo (12),2-0,1-0,Huesca (12)
?,(Sat) 14 Nov 2009 (45),Rayo Vallecano (12),2-0,1-0,Murcia (12)
?,(Sat) 14 Nov 2009 (45),Villarreal B (11),2-0,1-0,Cadiz (12)
?,(Sun) 15 Nov 2009 (45),Real Betis (11),1-1,0-1,RC Celta Vigo (12)
?,(Sun) 15 Nov 2009 (45),Cartagena (12),0-2,0-2,Gimnastic (12)
?,(Sun) 15 Nov 2009 (45),Cordoba (12),2-0,1-0,Salamanca (12)
?,(Sun) 15 Nov 2009 (45),Hercules (12),1-0,0-0,Numancia (12)
?,(Sat) 21 Nov 2009 (46),RC Celta Vigo (13),0-2,0-0,Villarreal B (12)
?,(Sat) 21 Nov 2009 (46),Gimnastic (13),1-1,1-0,Rayo Vallecano (13)
?,(Sat) 21 Nov 2009 (46),Girona (13),4-0,0-0,Cadiz (13)
?,(Sat) 21 Nov 2009 (46),Huesca (13),2-1,1-0,Albacete (13)
?,(Sat) 21 Nov 2009 (46),UD Las Palmas (13),2-2,1-1,Castellon (13)
?,(Sat) 21 Nov 2009 (46),Levante UD (13),0-0,0-0,Cordoba (13)
?,(Sat) 21 Nov 2009 (46),Murcia (13),3-0,2-0,Real Union (13)
?,(Sun) 22 Nov 2009 (46),Elche (13),3-0,1-0,Real Betis (12)
?,(Sun) 22 Nov 2009 (46),Numancia (13),1-1,0-1,Recreativo (13)
?,(Sun) 22 Nov 2009 (46),Salamanca (13),0-0,0-0,Hercules (13)
?,(Sun) 22 Nov 2009 (46),Real Sociedad (13),1-0,0-0,Cartagena (13)
?,(Sat) 28 Nov 2009 (47),Cadiz (14),3-1,2-1,RC Celta Vigo (14)
?,(Sat) 28 Nov 2009 (47),Cartagena (14),1-0,1-0,Huesca (14)
?,(Sat) 28 Nov 2009 (47),Hercules (14),2-1,1-1,Levante UD (14)
?,(Sat) 28 Nov 2009 (47),Real Union (14),1-0,0-0,Gimnastic (14)
?,(Sat) 28 Nov 2009 (47),Recreativo (14),0-2,0-1,Salamanca (14)
?,(Sun) 29 Nov 2009 (47),Albacete (14),2-3,1-0,Numancia (14)
?,(Sun) 29 Nov 2009 (47),Real Betis (13),1-0,0-0,UD Las Palmas (14)
?,(Sun) 29 Nov 2009 (47),Castellon (14),2-1,1-0,Murcia (14)
?,(Sun) 29 Nov 2009 (47),Cordoba (14),2-2,1-1,Girona (14)
?,(Sun) 29 Nov 2009 (47),Rayo Vallecano (14),3-3,2-2,Real Sociedad (14)
?,(Sun) 29 Nov 2009 (47),Villarreal B (13),2-2,1-1,Elche (14)
?,(Wed) 2 Dec 2009 (48),Real Betis (14),4-0,1-0,Villarreal B (14)
?,(Sat) 5 Dec 2009 (48),Cordoba (15),1-1,1-1,Hercules (15)
?,(Sat) 5 Dec 2009 (48),Elche (15),1-1,0-0,Cadiz (15)
?,(Sat) 5 Dec 2009 (48),Girona (15),1-2,0-1,RC Celta Vigo (15)
?,(Sat) 5 Dec 2009 (48),Huesca (15),2-1,0-0,Rayo Vallecano (15)
?,(Sat) 5 Dec 2009 (48),Numancia (15),2-1,2-0,Cartagena (15)
?,(Sat) 5 Dec 2009 (48),Salamanca (15),3-2,1-1,Albacete (15)
?,(Sat) 5 Dec 2009 (48),Real Sociedad (15),4-1,3-1,Real Union (15)
?,(Sun) 6 Dec 2009 (48),Gimnastic (15),2-1,1-0,Castellon (15)
?,(Sun) 6 Dec 2009 (48),UD Las Palmas (15),0-0,0-0,Villarreal B (15)
?,(Sun) 6 Dec 2009 (48),Levante UD (15),1-1,0-1,Recreativo (15)
?,(Sun) 6 Dec 2009 (48),Murcia (15),2-0,2-0,Real Betis (15)
?,(Sat) 12 Dec 2009 (49),Albacete (16),1-0,0-0,Levante UD (16)
?,(Sat) 12 Dec 2009 (49),Castellon (16),0-1,0-1,Real Sociedad (16)
?,(Sat) 12 Dec 2009 (49),Hercules (16),2-0,1-0,Girona (16)
?,(Sat) 12 Dec 2009 (49),Recreativo (16),0-0,0-0,Cordoba (16)
?,(Sat) 12 Dec 2009 (49),Rayo Vallecano (16),4-1,3-0,Numancia (16)
?,(Sat) 12 Dec 2009 (49),Villarreal B (16),2-1,0-0,Murcia (16)
?,(Sun) 13 Dec 2009 (49),Real Betis (16),3-0,1-0,Gimnastic (16)
?,(Sun) 13 Dec 2009 (49),Cadiz (16),0-0,0-0,UD Las Palmas (16)
?,(Sun) 13 Dec 2009 (49),Cartagena (16),3-4,1-1,Salamanca (16)
?,(Sun) 13 Dec 2009 (49),RC Celta Vigo (16),2-1,0-0,Elche (16)
?,(Sun) 13 Dec 2009 (49),Real Union (16),1-1,0-0,Huesca (16)
?,(Sat) 19 Dec 2009 (50),Cordoba (17),0-2,0-1,Albacete (17)
?,(Sat) 19 Dec 2009 (50),Hercules (17),2-0,2-0,Recreativo (17)
?,(Sat) 19 Dec 2009 (50),UD Las Palmas (17),1-1,0-1,RC Celta Vigo (17)
?,(Sat) 19 Dec 2009 (50),Levante UD (17),1-2,0-1,Cartagena (17)
?,(Sat) 19 Dec 2009 (50),Numancia (17),1-0,1-0,Real Union (17)
?,(Sat) 19 Dec 2009 (50),Salamanca (17),0-1,0-0,Rayo Vallecano (17)
?,(Sun) 20 Dec 2009 (50),Gimnastic (17),2-1,2-0,Villarreal B (17)
?,(Sun) 20 Dec 2009 (50),Girona (17),3-2,1-2,Elche (17)
?,(Sun) 20 Dec 2009 (50),Huesca (17),2-0,1-0,Castellon (17)
?,(Sun) 20 Dec 2009 (50),Murcia (17),2-2,0-1,Cadiz (17)
?,(Sun) 20 Dec 2009 (50),Real Sociedad (17),2-0,1-0,Real Betis (17)
?,(Sat) 2 Jan 2010 (0),Albacete (18),1-2,1-0,Hercules (18)
?,(Sat) 2 Jan 2010 (0),Real Betis (18),1-1,1-0,Huesca (18)
?,(Sat) 2 Jan 2010 (0),Cartagena (18),0-0,0-0,Cordoba (18)
?,(Sat) 2 Jan 2010 (0),Castellon (18),0-1,0-1,Numancia (18)
?,(Sat) 2 Jan 2010 (0),Real Union (18),1-1,0-0,Salamanca (18)
?,(Sat) 2 Jan 2010 (0),Recreativo (18),2-2,1-0,Girona (18)
?,(Sun) 3 Jan 2010 (0),Cadiz (18),0-1,0-1,Gimnastic (18)
?,(Sun) 3 Jan 2010 (0),RC Celta Vigo (18),1-1,0-0,Murcia (18)
?,(Sun) 3 Jan 2010 (0),Elche (18),2-5,2-1,UD Las Palmas (18)
?,(Sun) 3 Jan 2010 (0),Rayo Vallecano (18),0-0,0-0,Levante UD (18)
?,(Sun) 3 Jan 2010 (0),Villarreal B (18),1-1,0-0,Real Sociedad (18)
?,(Sat) 9 Jan 2010 (1),Gimnastic (19),0-2,0-2,RC Celta Vigo (19)
?,(Sat) 9 Jan 2010 (1),Murcia (19),0-2,0-1,Elche (19)
?,(Sat) 9 Jan 2010 (1),Numancia (19),3-0,1-0,Real Betis (19)
?,(Sat) 9 Jan 2010 (1),Recreativo (19),0-0,0-0,Albacete (19)
?,(Sat) 9 Jan 2010 (1),Real Sociedad (19),4-1,1-1,Cadiz (19)
?,(Sun) 10 Jan 2010 (1),Girona (19),0-2,0-0,UD Las Palmas (19)
?,(Sun) 10 Jan 2010 (1),Hercules (19),2-0,1-0,Cartagena (19)
?,(Sun) 10 Jan 2010 (1),Huesca (19),0-1,0-1,Villarreal B (19)
?,(Sun) 10 Jan 2010 (1),Levante UD (19),1-0,0-0,Real Union (19)
?,(Sat) 16 Jan 2010 (2),Real Betis (20),1-0,0-0,Salamanca (19)
?,(Sat) 16 Jan 2010 (2),Cadiz (20),0-0,0-0,Huesca (20)
?,(Sat) 16 Jan 2010 (2),Castellon (19),0-0,0-0,Levante UD (20)
?,(Sat) 16 Jan 2010 (2),RC Celta Vigo (20),0-1,0-0,Real Sociedad (20)
?,(Sat) 16 Jan 2010 (2),Girona (20),2-2,2-0,Albacete (20)
?,(Sat) 16 Jan 2010 (2),UD Las Palmas (20),0-3,0-3,Murcia (20)
?,(Sun) 17 Jan 2010 (2),Cartagena (20),1-0,1-0,Recreativo (20)
