Round,Date,Team 1,FT,Team 2
1,Sat Aug 23 2014,Málaga CF,1-0,Athletic Club Bilbao
1,Sat Aug 23 2014,Granada CF,2-1,RCD La Coruña
1,Sat Aug 23 2014,Sevilla FC,1-1,Valencia CF
1,Sat Aug 23 2014,UD Almería,1-1,RCD Espanyol
1,Sun Aug 24 2014,SD Eibar,1-0,Real Sociedad
1,Sun Aug 24 2014,RC Celta Vigo,3-1,Getafe CF
1,Sun Aug 24 2014,FC Barcelona,3-0,Elche CF
1,Sun Aug 24 2014,Levante UD,0-2,Villarreal CF
1,Mon Aug 25 2014,Real Madrid,2-0,Córdoba CF
1,Mon Aug 25 2014,Rayo Vallecano,0-0,Atlético Madrid
2,Fri Aug 29 2014,Getafe CF,1-0,UD Almería
2,Fri Aug 29 2014,Valencia CF,3-0,Málaga CF
2,Sat Aug 30 2014,Córdoba CF,1-1,RC Celta Vigo
2,Sat Aug 30 2014,Athletic Club Bilbao,3-0,Levante UD
2,Sat Aug 30 2014,Atlético Madrid,2-1,SD Eibar
2,Sat Aug 30 2014,RCD Espanyol,1-2,Sevilla FC
2,Sun Aug 31 2014,Villarreal CF,0-1,FC Barcelona
2,Sun Aug 31 2014,RCD La Coruña,2-2,Rayo Vallecano
2,Sun Aug 31 2014,Real Sociedad,4-2,Real Madrid
2,Sun Aug 31 2014,Elche CF,1-1,Granada CF
3,Fri Sep 12 2014,UD Almería,1-1,Córdoba CF
3,Sat Sep 13 2014,FC Barcelona,2-0,Athletic Club Bilbao
3,Sat Sep 13 2014,Málaga CF,0-0,Levante UD
3,Sat Sep 13 2014,Real Madrid,1-2,Atlético Madrid
3,Sat Sep 13 2014,RC Celta Vigo,2-2,Real Sociedad
3,Sun Sep 14 2014,Rayo Vallecano,2-3,Elche CF
3,Sun Sep 14 2014,Valencia CF,3-1,RCD Espanyol
3,Sun Sep 14 2014,Sevilla FC,2-0,Getafe CF
3,Sun Sep 14 2014,Granada CF,0-0,Villarreal CF
3,Mon Sep 15 2014,SD Eibar,0-1,RCD La Coruña
4,Fri Sep 19 2014,Elche CF,0-2,SD Eibar
4,Sat Sep 20 2014,RCD La Coruña,2-8,Real Madrid
4,Sat Sep 20 2014,Athletic Club Bilbao,0-1,Granada CF
4,Sat Sep 20 2014,Atlético Madrid,2-2,RC Celta Vigo
4,Sat Sep 20 2014,RCD Espanyol,2-2,Málaga CF
4,Sun Sep 21 2014,Real Sociedad,1-2,UD Almería
4,Sun Sep 21 2014,Villarreal CF,4-2,Rayo Vallecano
4,Sun Sep 21 2014,Córdoba CF,1-3,Sevilla FC
4,Sun Sep 21 2014,Levante UD,0-5,FC Barcelona
4,Mon Sep 22 2014,Getafe CF,0-3,Valencia CF
5,Tue Sep 23 2014,Real Madrid,5-1,Elche CF
5,Tue Sep 23 2014,RC Celta Vigo,2-1,RCD La Coruña
5,Wed Sep 24 2014,Rayo Vallecano,2-1,Athletic Club Bilbao
5,Wed Sep 24 2014,SD Eibar,1-1,Villarreal CF
5,Wed Sep 24 2014,UD Almería,0-1,Atlético Madrid
5,Wed Sep 24 2014,Málaga CF,0-0,FC Barcelona
5,Wed Sep 24 2014,Granada CF,0-1,Levante UD
5,Wed Sep 24 2014,Sevilla FC,1-0,Real Sociedad
5,Thu Sep 25 2014,RCD Espanyol,2-0,Getafe CF
5,Thu Sep 25 2014,Valencia CF,3-0,Córdoba CF
6,Fri Sep 26 2014,Elche CF,0-1,RC Celta Vigo
6,Sat Sep 27 2014,Villarreal CF,0-2,Real Madrid
6,Sat Sep 27 2014,FC Barcelona,6-0,Granada CF
